id,type,title,director,cast,genres,overview,vote_average,vote_count
s123,Movie,50/50,Jonathan Levine,"['Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick, Bryce Dallas Howard, Anjelica Huston, Serge Houde, Andrew Airlie, Matt Frewer, Philip Baker Hall, Marie Avgeropoulos, Jessica Parker Kennedy']","['Comedies, Dramas, Independent Movies']",An otherwise healthy twentysomething has a comically early midlife crisis when he gets slapped with a cancer diagnosis and a 50-50 chance of survival.,7.0,1261
s154,Movie,A Bridge Too Far,Richard Attenborough,"[""Dirk Bogarde, James Caan, Michael Caine, Sean Connery, Edward Fox, Elliott Gould, Gene Hackman, Anthony Hopkins, Hardy Krüger, Laurence Olivier, Ryan O'Neal, Robert Redford, Maximilian Schell, Liv Ullmann""]","['Action & Adventure, Classic Movies, Dramas']",This wartime drama details a pivotal day in 1944 when an Allied task force tried to win World War II by seizing control of key bridges in Holland.,6.9,207
s164,Movie,A Cinderella Story,Mark Rosman,"['Hilary Duff, Chad Michael Murray, Jennifer Coolidge, Dan Byrd, Regina King, Julie Gonzalo, Lin Shaye, Madeline Zima, Andrea Avery, Mary Pat Gleason, Paul Rodriguez, Whip Hubley, Kevin Kilner, Erica Hubbard, Simon Helberg']","['Children & Family Movies, Comedies']",Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. Can her lost cell phone bring them together?,6.1,713
s184,Movie,A Haunted House,Michael Tiddes,"['Marlon Wayans, Essence Atkins, Cedric the Entertainer, Nick Swardson, David Koechner, Dave Sheridan, Affion Crockett, J.B. Smoove, Andrew Daly, Alanna Ubach']","['Comedies, Horror Movies']","This spoof on scary movies follows a young couple settling into a new home, where an evil spirit — and horrifyingly hilarious antics — await.",5.4,516
s207,Movie,A Most Violent Year,J.C. Chandor,"['Oscar Isaac, Jessica Chastain, David Oyelowo, Albert Brooks, Elyes Gabel, Catalina Sandino Moreno, Christopher Abbott, Peter Gerety, Alessandro Nivola']","['Dramas, Thrillers']",Abel Morales tries to avoid corruption's easy path as he pursues the American Dream amid an increasingly violent business war in 1981 New York City.,6.5,546
s211,Movie,A Night at the Roxbury,John Fortenberry,"['Will Ferrell, Chris Kattan, Dan Hedaya, Molly Shannon, Richard Grieco, Loni Anderson, Elisa Donovan, Gigi Rice, Lochlyn Munro, Dwayne Hickman']","['Comedies, Cult Movies']","After a run-in with Richard Grieco, dimwits Doug and Steve gain entry to a swanky nightclub in this comedy based on a ""Saturday Night Live"" sketch.",5.9,198
s225,Movie,A Separation,Asghar Farhadi,"[""Leila Hatami, Peyman Moaadi, Shahab Hosseini, Sareh Bayat, Sarina Farhadi, Babak Karimi, Ali-Asghar Shahbazi, Shirin Yazdanbakhsh, Kimia Hosseini, Merila Zare'i, Sahabanu Zolghadr""]","['Dramas, International Movies']","Amid an impasse in his marriage, a father in Tehran is beset by a bitter feud involving the family of a pious caretaker he hired for his aging dad.",7.7,469
s227,Movie,A Serious Man,"Ethan Coen, Joel Coen","['Michael Stuhlbarg, Richard Kind, Fred Melamed, Sari Lennick, Adam Arkin, Amy Landecker, Alan Mandell, Fyvush Finkel, Peter Breitmayer, Aaron Wolff, Jessica McManus, Brent Braunschweig']","['Comedies, Independent Movies']","With every aspect of his life unraveling, a Jewish physics professor seeks out three rabbis for spiritual guidance.",6.6,483
s230,Movie,A Single Man,Tom Ford,"['Colin Firth, Julianne Moore, Nicholas Hoult, Ginnifer Goodwin, Matthew Goode, Paul Butler, Ryan Simpkins, Teddy Sears, Paulette Lamori, Jon Kortajarena']","['Dramas, Independent Movies, LGBTQ Movies']",This stream-of-consciousness drama centers on a day in the life of a gay college professor who's reeling from his longtime lover's recent death.,7.3,463
s241,Movie,A Thousand Words,Brian Robbins,"['Eddie Murphy, Kerry Washington, Cliff Curtis, Clark Duke, Allison Janney, Ruby Dee, John Witherspoon, Jack McBrayer']",['Comedies'],"When he learns his karma will permit him to speak just a thousand more words before he dies, fast-talking agent Jack must make every syllable count.",6.0,373
s251,Movie,A Walk to Remember,Adam Shankman,"['Mandy Moore, Shane West, Peter Coyote, Daryl Hannah, Lauren German, Clayne Crawford, Al Thompson']","['Dramas, Romantic Movies']","When bad boy Landon is cast opposite campus bookworm Jamie in a high school play, romance blooms — until tragedy threatens to tear them apart.",7.5,1018
s287,Movie,About a Boy,"Chris Weitz, Paul Weitz","['Nicholas Hoult, Toni Collette, Victoria Smurfit, Sharon Small, Natalia Tena, Isabel Brook, Hugh Grant, Rachel Weisz, Nicholas Hutchison']","['Comedies, Dramas, International Movies']","Hip, irresponsible Londoner Will invents an imaginary son and starts attending single-parent meetings to find available women.",6.6,607
s288,Movie,About Time,Richard Curtis,"['Domhnall Gleeson, Rachel McAdams, Bill Nighy, Lydia Wilson, Lindsay Duncan, Richard Cordery, Tom Hollander, Margot Robbie, Joshua McGuire, Vanessa Kirby']","['Comedies, Dramas, International Movies']","When Tim learns that the men in his family can travel in time and change their own lives, he decides to go back and win the woman of his dreams.",7.8,2067
s298,Movie,Across the Universe,Julie Taymor,"['Evan Rachel Wood, Jim Sturgess, Joe Anderson, Dana Fuchs, Martin Luther, James Urbaniak, T.V. Carpio, Spencer Liff']","['Dramas, Music & Musicals, Romantic Movies']","An American girl and a British lad fall in love amid the social and political upheaval of the 1960s, in this musical featuring songs by the Beatles.",7.1,410
s299,Movie,Act of Valor,"Mike McCoy, Scott Waugh","['Keo Woolford, Drea Castro, Emilio Rivera, Rorke Denver, Jason Cottle, Ailsa Marshall, Alex Veadov, Dave, Roselyn Sanchez, Thomas Rosales Jr., Nestor Serrano, Gonzalo Menendez']",['Action & Adventure'],An elite squad of Navy SEALs is tasked with rescuing a kidnapped CIA agent from a lethal terrorist cell.,6.3,417
s314,Movie,Adore,Anne Fontaine,"['Naomi Watts, Robin Wright, Xavier Samuel, James Frecheville, Ben Mendelsohn, Jessica Tovey, Sophie Lowe, Gary Sweet, Alyson Standen, Skye Sutherland, Sarah Henderson']","['Dramas, Independent Movies, International Movies']","When lifelong friends Roz and Lil fall in love with each other's teenage sons, they must carry out their affairs in relative secrecy.",6.1,291
s324,Movie,After,Jenny Gage,"['Josephine Langford, Hero Fiennes Tiffin, Selma Blair, Inanna Sarkis, Shane Paul McGhie, Pia Mia, Khadijha Red Thunder, Dylan Arnold, Samuel Larsen, Jennifer Beals, Peter Gallagher']","['Dramas, Romantic Movies']","Wholesome college freshman Tessa Young thinks she knows what she wants out of life, until she crosses paths with complicated bad boy Hardin Scott.",5.6,63
s418,Movie,All the Boys Love Mandy Lane,Jonathan Levine,"['Anson Mount, Edwin Hodge, Michael Welch, Brooke Bloom, Amber Heard, Aaron Himelstein, Whitney Able, Luke Grimes, Melissa Price']",['Horror Movies'],"During a weekend excursion to a secluded ranch, an unwelcome visitor begins picking off the randy admirers of teenage temptress Mandy Lane.",5.7,209
s432,Movie,Along Came a Spider,Lee Tamahori,"['Morgan Freeman, Monica Potter, Michael Wincott, Dylan Baker, Mika Boorem, Anton Yelchin, Kim Hawthorne, Jay O. Sanders, Billy Burke, Michael Moriarty, Penelope Ann Miller']",['Thrillers'],"When a girl is kidnapped from a prestigious prep school, a homicide detective takes the case, teaming up with young security agent.",6.1,400
s434,Movie,Alpha and Omega: The Legend of the Saw Tooth Cave,Richard Rich,"['Debi Derryberry, Ben Diskin, Kate Higgins, Lindsay Torrance, Larry Thomas, Bill Lader, Cindy Robinson']",['Children & Family Movies'],"When a wolf pup named Runt sneaks off to explore a mysterious cave, he meets and befriends a wolf driven from her pack because she's blind.",6.5,4
s456,Movie,American Beauty,Sam Mendes,"['Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley, Mena Suvari, Chris Cooper, Peter Gallagher, Allison Janney, Scott Bakula, Sam Robards']",['Dramas'],"While struggling to endure his tightly wound wife, an unfulfilling job and a surly teen, a man becomes obsessed with one of his daughter's friends.",7.9,3313
s466,Movie,American Heist,Sarik Andreasyan,"['Hayden Christensen, Adrien Brody, Jordana Brewster, Tory Kittles, Akon, Luis Da Silva Jr., Lance E. Nichols, Joe Chrest']","['Action & Adventure, Dramas']",An ex-con is just getting his life back on track when his older brother is released from prison and drags him into the underworld for one final heist.,4.3,158
s467,Movie,American History X,Tony Kaye,"[""Edward Norton, Edward Furlong, Beverly D'Angelo, Jennifer Lien, Ethan Suplee, Fairuza Balk, Avery Brooks, Elliott Gould, Stacy Keach, William Russ, Guy Torry""]",['Dramas'],A neo-Nazi gets sent to prison for murder and comes out a changed man. But can he prevent his younger brother from following in his footsteps?,8.2,3016
s474,Movie,American Psycho,Mary Harron,"['Christian Bale, Willem Dafoe, Jared Leto, Reese Witherspoon, Samantha Mathis, Chloë Sevigny, Justin Theroux, Josh Lucas, Matt Ross, Bill Sage, Cara Seymour, Guinevere Turner']","['Comedies, Cult Movies, Dramas']","With chiseled good looks that belie his insanity, a businessman takes pathological pride in yuppie pursuits and indulges in sudden homicidal urges.",7.3,2066
s518,Movie,Angel Eyes,Luis Mandoki,"['Jennifer Lopez, Jim Caviezel, Sonia Braga, Terrence Howard, Jeremy Sisto, Monet Mazur, Victor Argo, Shirley Knight']","['Dramas, Romantic Movies']","When a violent assault leaves her vulnerable, a streetwise Chicago cop receives help from a haunted loner who's struggling with traumas of his own.",5.6,88
s522,Movie,Angels & Demons,Ron Howard,"['Tom Hanks, Ewan McGregor, Ayelet Zurer, Stellan Skarsgård, Pierfrancesco Favino, Nikolaj Lie Kaas, Armin Mueller-Stahl, Thure Lindhardt, David Pasquesi, Cosimo Fusco']",['Thrillers'],A Harvard symbologist races to uncover clues that will help stop an attack on the Vatican by a secret society looking to retaliate for old persecutions.,6.5,2129
s563,Movie,Apollo 18,Gonzalo López-Gallego,"['Warren Christie, Lloyd Owen, Ryan Robbins, Michael Kopsa, Andrew Airlie']","['Horror Movies, Sci-Fi & Fantasy, Thrillers']","This sci-fi thriller suggests that Apollo 17, despite official statements to the contrary, wasn't NASA's last manned mission to the moon.",5.0,356
s589,Movie,Arthur Christmas,Sarah Smith,"['James McAvoy, Hugh Laurie, Bill Nighy, Jim Broadbent, Imelda Staunton, Ashley Jensen, Ramona Marquez, Marc Wootton, Laura Linney, Eva Longoria, Michael Palin, Joan Cusack, Deborah Findlay, Rich Fulcher, Sarah Smith, Clint Dyer, Kerry Shale, Stewart Lee, Bronagh Gallagher, Kevin Cecil, Alistair McGowan, David Menkin, Kris Pearn, Ian Ashpitel, Rich Hall, Seeta Indrani, Jane Horrocks, Peter Baynham, Emma Kennedy, Dominic West, Jerry Lambert, Julia Davis, Robbie Coltrane, Iain McKee, Sanjeev Bhaskar, Andy Serkis, Tamsin Greig, Rhys Darby, Seamus Malone, Cody Cameron, David Schneider, Kevin Eldon, Danny John-Jules, Brian Cummings']","['Children & Family Movies, Comedies']","At Santa Claus's super-secret toy-making facility, Mr. Claus entrusts his son, Arthur, to carry out an ultra-important Christmas mission.",6.7,333
s592,Movie,"As Above, So Below",John Erick Dowdle,"['Perdita Weeks, Ben Feldman, Edwin Hodge, François Civil, Marion Lambert, Ali Marhyar, Cosme Castro, Hamid Djavadan, Théo Cholbi, Emy Lévy']","['Horror Movies, Thrillers']",A beautiful tomb raider and her crew hunt for treasure in the catacombs of Paris and find themselves in a hellish underworld.,6.1,766
s593,Movie,As Good as It Gets,James L. Brooks,"['Jack Nicholson, Helen Hunt, Greg Kinnear, Cuba Gooding Jr., Skeet Ulrich, Shirley Knight, Yeardley Smith, Lupe Ontiveros']","['Comedies, Romantic Movies']","The structured world of a sour, obsessive-compulsive author crumbles when he's drawn into the lives of a stressed-out single mom and his gay neighbor.",7.2,915
s626,Movie,Austin Powers in Goldmember,Jay Roach,"['Mike Myers, Beyoncé Knowles-Carter, Seth Green, Michael York, Robert Wagner, Mindy Sterling, Verne Troyer, Michael Caine, Fred Savage']","['Action & Adventure, Comedies']","The world's most shagadelic spy continues his fight against the diabolical Dr. Evil, who's teamed with a new foe: 1970s villain Goldmember.",5.9,979
s627,Movie,Austin Powers: International Man of Mystery,Jay Roach,"['Mike Myers, Elizabeth Hurley, Michael York, Mimi Rogers, Robert Wagner, Seth Green, Fabiana Udenio, Mindy Sterling, Paul Dillon, Charles Napier, Will Ferrell']",['Comedies'],"A swingin' fashion photographer by day and a groovy British secret agent by night, superspy Austin Powers must foil the sinister schemes of Dr. Evil.",6.5,1013
s628,Movie,Austin Powers: The Spy Who Shagged Me,Jay Roach,"['Mike Myers, Heather Graham, Michael York, Robert Wagner, Rob Lowe, Seth Green, Mindy Sterling, Verne Troyer, Elizabeth Hurley, Will Ferrell']","['Action & Adventure, Comedies, Sci-Fi & Fantasy']","When diabolical genius Dr. Evil travels back in time to steal superspy Austin Powers's ""mojo,"" Austin must return to the swingin' '60s himself.",6.2,1011
s630,Movie,Automata,Gabe Ibáñez,"['Antonio Banderas, Dylan McDermott, Melanie Griffith, Birgitte Hjort Sørensen, Robert Forster, Christa Campbell, Tim McInnerny, Andy Nyman, David Ryall']","['International Movies, Sci-Fi & Fantasy, Thrillers']","In a dystopian future, an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy.",5.6,670
s639,Movie,Awake,"Aleksandr Chernyaev, Fedor Lyass","['Jonathan Rhys Meyers, Francesca Eastwood, Malik Yoba, William Forsythe, James Austin Kerr, Jeremy Parr']",['Thrillers'],"After an accident leaves him with no recollection of who he is, a man becomes a prime suspect in the search for a serial killer targeting young women.",6.3,395
s667,Movie,Babel,Alejandro G. Iñárritu,"['Brad Pitt, Cate Blanchett, Gael García Bernal, Koji Yakusho, Adriana Barraza, Rinko Kikuchi, Said Tarchani, Boubker Ait El Caid, Elle Fanning, Nathan Gamble, Mohamed Akhzam']","['Dramas, Independent Movies']","When an American couple vacationing in Morocco falls victim to a random act of violence, a series of events unfolds across four countries.",6.9,1055
s688,Movie,Bad Boys,Michael Bay,"['Will Smith, Martin Lawrence, Téa Leoni, Tchéky Karyo, Theresa Randle, Joe Pantoliano, Emmanuel Xuereb, Michael Imperioli, Nestor Serrano, Julio Oscar Mechoso']","['Action & Adventure, Comedies']","In this fast-paced actioner, two Miami narcotics cops are hot on the trail of a master crook who has snatched $100 million worth of heroin.",6.5,1699
s689,Movie,Bad Boys II,Michael Bay,"['Will Smith, Martin Lawrence, Jordi Mollà, Gabrielle Union, Peter Stormare, Theresa Randle, Joe Pantoliano, Michael Shannon, Jon Seda, Yul Vazquez']","['Action & Adventure, Comedies']","In this hyperkinetic sequel, a pair of Miami narcotics cops investigate a Cuban drug kingpin's connection to Florida's influx of Ecstasy.",6.3,1564
s733,Movie,Barbecue,Matthew Salleh,[nan],"['Documentaries, International Movies']","A blend of cultural nuance and mesmerizing techniques adds flavor to this globe-hopping celebration of cooking, tradition and community.",5.8,214
s802,Movie,Becoming Jane,Julian Jarrold,"['Anne Hathaway, James McAvoy, Julie Walters, James Cromwell, Maggie Smith, Laurence Fox, Ian Richardson']","['Dramas, Romantic Movies']",A passionate romance with roguish barrister Tom Lefroy serves as the inspiration for the works of budding novelist Jane Austen.,6.9,317
s803,Movie,Bedtime Stories,Adam Shankman,"['Adam Sandler, Keri Russell, Guy Pearce, Russell Brand, Richard Griffiths, Jonathan Pryce, Courteney Cox, Lucy Lawless, Teresa Palmer, Aisha Tyler, Laura Ann Kesling, Jackie Sandler, Lorna Scott, Dana Min Goodman, Andrew Collins, Jonathan Loughran, Jonathan Morgan Heit, Nick Swardson, Tim Herlihy, Billy Tyler, Johntae Lipscomb, Mikey Post, Sebastian Saraceno, Bill Romanowski, Sadie Sandler, Carmen Electra, Allen Covert, Kathryn Joosten, Annalise Basso, Blake Clark, Julia Lea Wolov, Sarah G. Buxton']","['Children & Family Movies, Comedies']",Skeeter's life is turned upside down when the fantastical stories he makes up to entertain his niece and nephew inexplicably turn into reality.,5.9,901
s804,Movie,Bee Movie,"Steve Hickner, Simon J. Smith","['Jerry Seinfeld, Renée Zellweger, Matthew Broderick, Patrick Warburton, John Goodman, Chris Rock, Kathy Bates, Barry Levinson, Larry King, Ray Liotta']","['Children & Family Movies, Comedies']","Barry, a worker bee stuck in a dead-end job making honey, sues humans when he learns they've been stealing bees' nectar all along.",5.7,1171
s812,TV Show,Behind Enemy Lines,,[nan],"['British TV Shows, Docuseries']","After dire setbacks in 1940, Winston Churchill commissions a new kind of fighting force: commandos trained to use stealth and audacious tactics.",6.0,457
s835,Movie,Benji,Brandon Camp,"['Gabriel Bateman, Darby Camp, Kiele Sanchez, Jerod Haynes, Gralen Bryant Banks, Angus Sampson, Will Rothhaar, Jim Gleason, Brady Permenter']","['Children & Family Movies, Dramas']",A determined dog comes to the rescue and helps heal a broken family when a young boy and his sister stumble into some serious danger.,6.1,35
s902,Movie,Big Daddy,Dennis Dugan,"['Adam Sandler, Joey Lauren Adams, Jon Stewart, Cole Sprouse, Dylan Sprouse, Josh Mostel, Leslie Mann, Allen Covert, Rob Schneider, Kristy Swanson']",['Comedies'],"Dumped by his girlfriend because he refuses to accept responsibility, overgrown adolescent Sonny Koufax adopts a 5-year-old to prove he's a grownup.",6.1,875
s904,Movie,Big Fat Liar,Shawn Levy,"['Frankie Muniz, Paul Giamatti, Amanda Bynes, Amanda Detmer, Donald Faison, Sandra Oh, Russell Hornsby, Michael Bryan French, Christine Tucci, Lee Majors, John Cho']","['Children & Family Movies, Comedies']",Junior high students Jason and Kaylee take action when a greedy Hollywood producer turns Jason's essay into a hit film without giving him credit.,5.6,197
s906,Movie,Big Miracle,Ken Kwapis,"['Drew Barrymore, John Krasinski, Kristen Bell, Dermot Mulroney, Tim Blake Nelson, Vinessa Shaw, Ted Danson, Stephen Root, Rob Riggle, Michael Gaston']","['Children & Family Movies, Dramas']","After a reporter writes about whales trapped in the Arctic Circle, the U.S. and U.S.S.R. team up to rescue them in this tale inspired by true events.",6.6,152
s928,Movie,Billy Elliot,Stephen Daldry,"['Jamie Bell, Gary Lewis, Stuart Wells, Billy Fane, Colin MacLachlan, Nicola Blackwell, Carol McGuigan, Joe Renton, Janine Birkett, Charlie Hardwick, Mike Elliot, Jean Heywood, Jamie Draven, Julie Walters, Trevor Fox, Adam Cooper']","['Dramas, Independent Movies, International Movies']","When a boy trades boxing school for ballet lessons, he may take his newfound talent all the way to the top - and win over his disapproving father.",7.4,750
s952,Movie,Black Hawk Down,Ridley Scott,"['Josh Hartnett, Ewan McGregor, Tom Sizemore, Eric Bana, William Fichtner, Ewen Bremner, Sam Shepard, Gabriel Casseus, Kim Coates, Hugh Dancy, Ron Eldard, Ioan Gruffudd, Tom Guiry, Charlie Hofheimer, Danny Hoch, Jason Isaacs, Zeljko Ivanek, Glenn Morshower, Jeremy Piven, Brendan Sexton III']","['Action & Adventure, Dramas']","When U.S. forces attempt to capture two underlings of a Somali warlord, their helicopters are shot down and the Americans suffer heavy casualties.",7.2,1811
s964,Movie,Black Snake Moan,Craig Brewer,"['Samuel L. Jackson, Christina Ricci, Justin Timberlake, S. Epatha Merkerson, John Cothran, David Banner, Michael Raymond-James, Adriane Lenox, Kim Richards, Neimus K. Williams']","['Dramas, Independent Movies']","Lazarus finds Rae beaten and near death, and acts as a father figure to help redeem her. But before saving anyone, Lazarus must face his own demons.",6.6,243
s994,Movie,Blow,Ted Demme,"['Johnny Depp, Penélope Cruz, Franka Potente, Rachel Griffiths, Paul Reubens, Jordi Mollà, Cliff Curtis, Miguel Sandoval, Ethan Suplee, Ray Liotta']",['Dramas'],Cocaine smuggler George rises from poverty to become one of the biggest drug dealers in America before his eventual downfall.,7.4,1317
s998,Movie,Blue Jasmine,Woody Allen,"['Cate Blanchett, Sally Hawkins, Alec Baldwin, Louis C.K., Bobby Cannavale, Andrew Dice Clay, Peter Sarsgaard, Michael Stuhlbarg, Tammy Blanchard, Max Casella, Alden Ehrenreich']","['Comedies, Dramas, Independent Movies']",The high life leads to high anxiety for a fashionable New York City homemaker in crisis who finds herself forced to live a more modest lifestyle.,7.0,1098
s1002,Movie,Blue Ruin,Jeremy Saulnier,"['Macon Blair, Devin Ratray, Amy Hargreaves, Kevin Kolack, Eve Plumb, David W. Thompson, Brent Werzner, Stacy Rock, Sidné Anderson, Sandy Barnett, Bonnie Johnson']","['Independent Movies, Thrillers']","Bad news from the past unhinges vagabond Dwight Evans, sending him on a mission of bloody retribution that takes him to his childhood hometown.",6.9,462
s1003,Movie,Blue Streak,Les Mayfield,"['Martin Lawrence, Luke Wilson, Peter Greene, Dave Chappelle, Nicole Ari Parker, Graham Beckel, Robert Miranda, Olek Krupa, Saverio Guerra, Richard C. Sarafian, William Forsythe']","['Action & Adventure, Comedies']",A jewel thief returns to his hiding place after a stint in jail — only to find that his diamond is buried under a newly constructed police station.,6.1,352
s1004,Movie,Blue Valentine,Derek Cianfrance,"['Ryan Gosling, Michelle Williams, Faith Wladyka, John Doman, Mike Vogel, Ben Shenkman, Jen Jones, Maryann Plunkett, Marshall Johnson, James Benatti, Barbara Troy, Carey Westbrook, Enid Graham']","['Dramas, Independent Movies, Romantic Movies']","As Cindy and Dean muddle through their languishing marriage, they hearken back to the golden days when life was filled with possibility and romance.",6.9,890
s1017,Movie,Bobby,Raj Kapoor,"['Rishi Kapoor, Dimple Kapadia, Pran, Prem Nath, Sonia Sahni, Durga Khote, Aruna Irani, Prem Chopra, Farida Jalal']","['Classic Movies, Dramas, International Movies']","Raj, the son of strict, wealthy parents, falls in love with Bobby, the daughter of a poor Christian fisherman – a romance his parents oppose.",6.4,119
s1031,Movie,Bolt,"Byron Howard, Chris Williams","['John Travolta, Miley Cyrus, Susie Essman, Mark Walton, Malcolm McDowell, James Lipton, Greg Germann, Diedrich Bader, Nick Swardson, J.P. Manoux, Dan Fogelman, Kari Wahlgren, Chloë Grace Moretz, Randy Savage, Ronn Moss, John DiMaggio, Daran Norris, Jeff Bennett, Brian Stepanek, Todd Cummings']","['Children & Family Movies, Comedies']","This tale follows German shepherd Bolt, a canine actor who makes a cross-country trek when he's mistakenly shipped from Hollywood to New York City.",6.3,1750
s1112,Movie,Brooklyn's Finest,Antoine Fuqua,"[""Richard Gere, Don Cheadle, Ethan Hawke, Wesley Snipes, Will Patton, Lili Taylor, Michael Kenneth Williams, Brían F. O'Byrne, Shannon Kane, Ellen Barkin, Vincent D'Onofrio, Logan Marshall-Green""]","['Dramas, Thrillers']","Three cops find themselves hurtling toward the same crime scene on one fatal night in this tense, edge-of your-seat thriller.",6.2,293
s1113,Movie,Brother,Julien Abraham,"['MHD, Darren Muselet, Aïssa Maïga, Jalil Lespert, Youssouf Gueye, Hiam Abbass, Lisette Malidor']","['Dramas, Independent Movies, International Movies']","Thrust from a violent home into a brutal custody center, a teenager learns to navigate a tough new reality and forge unlikely alliances to survive.",6.8,107
s1118,Movie,Brothers,Karan Malhotra,"['Akshay Kumar, Sidharth Malhotra, Jackie Shroff, Jacqueline Fernandez, Shefali Shah, Kulbhushan Kharbanda, Rajendranath Zutshi, Ashutosh Rana']","['Action & Adventure, Dramas, International Movies']","After a troubled past with their alcoholic father, two estranged brothers prepare to face each other again as rivals in a street fighting tournament.",6.8,633
s1138,Movie,Bully,Lee Hirsch,[nan],['Documentaries'],This eye-opening documentary tracks the stories of five different families whose children are struggling to defend themselves from school bullies.,6.7,125
s1142,Movie,Burlesque,Steve Antin,"['Cher, Christina Aguilera, Alan Cumming, Eric Dane, Cam Gigandet, Julianne Hough, Peter Gallagher, Kristen Bell, Stanley Tucci, Dianna Agron']","['Dramas, Romantic Movies']","After leaving Iowa with stars in her eyes, Ali arrives at a Los Angeles burlesque lounge with dreams of taking the stage with her soaring voice.",6.9,573
s1156,Movie,By the Sea,Angelina Jolie,"['Angelina Jolie, Brad Pitt, Mélanie Laurent, Melvil Poupaud, Niels Arestrup, Richard Bohringer']","['Dramas, Romantic Movies']","Troubled by the state of their marriage, Vanessa and Roland visit a French seaside town, where they have a fateful encounter with a pair of newlyweds.",5.4,156
